study;hedgesg;se;var;lowlim;uplim;n;zval
jensen1994;-0.352;0.39;0.152;-1.1164;0.4124;25;-0.902
vaughan1994;-0.426;0.407;0.166;-1.22372;0.37172;36;-1.047
rothbaum1997;-2.416;0.434;0.188;-3.26664;-1.56536;18;-5.567
marcus1997;-0.627;0.175;0.031;-0.97;-0.284;67;-3.581
devilly1998;-0.375;0.416;0.173;-1.19036;0.44036;51;-0.902
scheck1998;-0.733;0.192;0.037;-1.10932;-0.35668;60;-3.826
carlson1998;-0.637;0.304;0.093;-1.23284;-0.04116;35;-2.095
rogers1999;-0.646;0.549;0.301;-1.72204;0.43004;12;-1.178
devilly1999;-0.813;0.297;0.088;-1.39512;-0.23088;23;-2.739
wilson2001;-0.425;0.254;0.065;-0.92284;0.07284;62;-1.67
power2002;-1.874;0.235;0.055;-2.3346;-1.4134;72;-7.964
ironson2002;-0.693;0.453;0.205;-1.58088;0.19488;22;-1.529
chemtob2002;-0.179;0.346;0.12;-0.85716;0.49916;32;-0.516
lee2002;-0.32;0.281;0.079;-0.87076;0.23076;24;-1.14
lytle2002;-0.165;0.356;0.127;-0.86276;0.53276;45;-0.463
jaberghaderi2004;-1.16;0.272;0.074;-1.69312;-0.62688;62;-4.27
rothbaum2005;-0.549;0.316;0.1;-1.16836;0.07036;60;-1.737
vanderkolk2007;-0.587;0.285;0.081;-1.1456;-0.0284;88;-2.06
ahmad2007;0.096;0.24;0.058;-0.3744;0.5664;33;-0.4
hogberg2007;-0.625;0.434;0.188;-1.47564;0.22564;24;-1.439
kemp2009;-0.938;0.417;0.174;-1.75532;-0.12068;27;-2.251
karatzias2011;-0.101;0.264;0.07;-0.61844;0.41644;46;-0.381
