study_id;events_homeo;n_homeo;events_plac;n_plac
Belon(2006);23;26;14;17
Bergmann (a)(2000);14;17;9;20
Bergmann (b)(2000);7;16;8;14
Cialdella(2001);22;35;13;26
Diefenbach(1997);105;114;89;95
Ferley(1989);39;228;24;234
Friese(1997);32;41;29;41
Gerhard (a)(1998);8;15;8;13
Gerhard (b)(1998);8;11;2;10
Gerhard (c)(1998);3;7;2;10
Hofmeyr(1990);58;76;67;85
Kaziro(1984);30;39;32;38
Padilha(2011);12;59;13;61
Papp(1998);32;167;25;167
Paris(2008);23;52;29;53
Rahlfs(1976);27;40;12;23
Rahlfs(1978);32;42;18;43
Reilly(1986);34;56;27;53
Reilly(1994);9;11;5;13
Wiesenauer(1985);28;36;22;38
Wiesenauer(1990);75;85;48;86
Wiesenauer(1991);44;56;31;50
Wiesenauer(1995);48;60;41;60
